Cultura,Quantidade_a_ser_Plantada_Toneladas,Producao_Total_Toneladas,Tipo_de_Solo,Tipo_de_Irrigacao,Frequencia_Irrigacao,Temperatura_Media,Fertilizante,Pragas,Rotacao_de_Culturas,Tecnologia_Utilizada
Trigo,59,247.79999999999995,Argila,Sulcos,Semanal,26,Orgânico,Nenhuma,Não,Alto
Arroz,86,387.0,Silte,Aspersão,Mensal,30,Fósforo,Nenhuma,Sim,Alto
Arroz,28,81.2,Argila,Gotejamento,Semanal,18,Orgânico,Fungos,Sim,Alto
Trigo,66,211.20000000000002,Argila,Sulcos,Mensal,22,Fósforo,Insetos,Não,Alto
Soja,42,138.60000000000002,Areia,Aspersão,Mensal,26,Orgânico,Insetos,Sim,Médio
Arroz,45,130.50000000000003,Argila,Aspersão,Semanal,21,Nitrogênio,Ferrugem,Sim,Médio
Milho,62,173.6,Silte,Sulcos,Diária,20,Fósforo,Insetos,Sim,Baixo
Café,57,233.7,Silte,Gotejamento,Mensal,31,Fósforo,Insetos,Sim,Alto
Milho,6,19.200000000000003,Areia,Aspersão,Diária,22,Nitrogênio,Insetos,Sim,Médio
Soja,28,98.0,Silte,Sulcos,Semanal,24,Composto,Insetos,Não,Alto
Trigo,28,86.8,Silte,Sulcos,Diária,21,Nitrogênio,Ferrugem,Sim,Médio
Café,44,162.8,Silte,Gotejamento,Mensal,27,Nitrogênio,Insetos,Sim,Alto
Trigo,84,344.4,Areia,Aspersão,Mensal,31,Nitrogênio,Ferrugem,Sim,Alto
Café,30,99.0,Areia,Gotejamento,Mensal,18,Fósforo,Nenhuma,Sim,Alto
Soja,62,210.79999999999998,Silte,Sulcos,Semanal,23,Orgânico,Fungos,Sim,Alto
Arroz,75,300.0,Argila,Sulcos,Mensal,30,Nitrogênio,Nenhuma,Sim,Baixo
Milho,92,349.59999999999997,Silte,Aspersão,Semanal,22,Nitrogênio,Nenhuma,Sim,Alto
Milho,89,373.8,Silte,Sulcos,Diária,32,Composto,Ferrugem,Sim,Médio
Soja,62,167.4,Areia,Aspersão,Mensal,20,Fósforo,Fungos,Sim,Médio
Café,97,407.40000000000003,Argila,Gotejamento,Mensal,30,Fósforo,Nenhuma,Não,Médio
Soja,1,4.2,Areia,Aspersão,Diária,32,Fósforo,Ferrugem,Sim,Médio
Trigo,27,89.1,Argila,Sulcos,Diária,20,Composto,Insetos,Sim,Alto
Milho,62,241.79999999999998,Silte,Aspersão,Mensal,34,Composto,Ferrugem,Não,Baixo
Trigo,77,246.4,Argila,Sulcos,Semanal,26,Orgânico,Insetos,Sim,Baixo
Trigo,3,10.8,Silte,Aspersão,Diária,26,Fósforo,Ferrugem,Não,Médio
Café,70,266.0,Silte,Sulcos,Semanal,25,Nitrogênio,Nenhuma,Sim,Médio
Soja,72,302.40000000000003,Silte,Gotejamento,Mensal,27,Nitrogênio,Nenhuma,Sim,Alto
Arroz,27,78.30000000000001,Silte,Aspersão,Mensal,22,Nitrogênio,Ferrugem,Sim,Médio
Café,9,32.4,Argila,Sulcos,Diária,28,Fósforo,Fungos,Sim,Baixo
Café,62,254.2,Silte,Aspersão,Diária,31,Orgânico,Fungos,Não,Médio
Arroz,37,92.5,Argila,Sulcos,Mensal,20,Fósforo,Fungos,Sim,Baixo
Soja,97,261.90000000000003,Areia,Gotejamento,Mensal,22,Nitrogênio,Fungos,Sim,Baixo
Café,51,142.79999999999998,Areia,Gotejamento,Mensal,18,Fósforo,Ferrugem,Não,Alto
Café,44,110.0,Silte,Aspersão,Semanal,19,Orgânico,Fungos,Não,Baixo
Milho,24,96.0,Areia,Gotejamento,Semanal,32,Composto,Ferrugem,Sim,Médio
Milho,79,323.90000000000003,Silte,Sulcos,Mensal,34,Composto,Insetos,Sim,Médio
Soja,59,224.2,Areia,Gotejamento,Mensal,33,Orgânico,Insetos,Não,Baixo
Soja,32,102.4,Areia,Gotejamento,Diária,19,Composto,Ferrugem,Não,Alto
Milho,96,336.00000000000006,Areia,Aspersão,Semanal,22,Composto,Nenhuma,Sim,Médio
Soja,88,343.2,Silte,Gotejamento,Diária,29,Fósforo,Fungos,Não,Médio
Arroz,52,150.79999999999998,Silte,Gotejamento,Diária,19,Nitrogênio,Insetos,Não,Médio
Arroz,62,198.4,Areia,Aspersão,Semanal,26,Composto,Fungos,Não,Baixo
Café,58,249.39999999999998,Argila,Sulcos,Mensal,31,Fósforo,Nenhuma,Sim,Médio
Café,52,171.60000000000002,Argila,Aspersão,Semanal,22,Composto,Fungos,Não,Alto
Café,12,43.2,Silte,Aspersão,Mensal,26,Fósforo,Ferrugem,Sim,Alto
Café,39,152.1,Argila,Sulcos,Mensal,32,Nitrogênio,Insetos,Sim,Médio
Trigo,2,7.0,Argila,Aspersão,Mensal,28,Nitrogênio,Ferrugem,Sim,Médio
Arroz,3,11.100000000000001,Argila,Gotejamento,Mensal,32,Orgânico,Ferrugem,Não,Baixo
Trigo,56,212.79999999999998,Areia,Sulcos,Mensal,33,Nitrogênio,Fungos,Sim,Baixo
Arroz,81,356.40000000000003,Areia,Sulcos,Mensal,32,Orgânico,Nenhuma,Não,Médio
Soja,59,165.20000000000002,Argila,Gotejamento,Mensal,21,Nitrogênio,Ferrugem,Não,Médio
Café,2,8.6,Areia,Aspersão,Diária,35,Fósforo,Insetos,Não,Baixo
Milho,2,6.0,Argila,Gotejamento,Mensal,20,Composto,Fungos,Sim,Alto
Milho,92,312.8,Argila,Gotejamento,Diária,24,Composto,Ferrugem,Sim,Médio
Arroz,54,156.6,Silte,Sulcos,Diária,19,Orgânico,Insetos,Sim,Médio
Milho,87,269.7,Areia,Aspersão,Mensal,21,Composto,Fungos,Sim,Alto
Café,96,278.40000000000003,Areia,Aspersão,Semanal,21,Orgânico,Ferrugem,Sim,Médio
Soja,97,310.40000000000003,Areia,Sulcos,Semanal,21,Nitrogênio,Fungos,Sim,Alto
Soja,1,3.8,Areia,Gotejamento,Mensal,28,Composto,Ferrugem,Sim,Alto
Milho,19,91.2,Silte,Aspersão,Diária,33,Nitrogênio,Nenhuma,Sim,Médio
Milho,2,8.0,Argila,Sulcos,Mensal,30,Composto,Ferrugem,Sim,Alto
Arroz,53,180.2,Silte,Sulcos,Diária,21,Orgânico,Ferrugem,Sim,Alto
Café,44,162.8,Areia,Sulcos,Mensal,32,Orgânico,Fungos,Sim,Baixo
Arroz,90,324.0,Areia,Aspersão,Mensal,31,Orgânico,Fungos,Sim,Baixo
Soja,32,156.8,Argila,Gotejamento,Semanal,33,Composto,Nenhuma,Sim,Alto
Milho,70,245.0,Areia,Sulcos,Mensal,25,Composto,Fungos,Não,Alto
Milho,32,121.6,Areia,Aspersão,Semanal,22,Orgânico,Nenhuma,Não,Alto
Milho,68,272.0,Areia,Aspersão,Mensal,30,Nitrogênio,Fungos,Sim,Alto
Café,55,181.50000000000003,Argila,Aspersão,Semanal,27,Composto,Insetos,Não,Baixo
Arroz,75,300.0,Silte,Gotejamento,Mensal,33,Fósforo,Ferrugem,Sim,Médio
Soja,56,218.4,Areia,Aspersão,Semanal,31,Composto,Fungos,Sim,Médio
Soja,17,57.8,Argila,Aspersão,Mensal,24,Fósforo,Insetos,Sim,Alto
Soja,38,121.60000000000001,Argila,Aspersão,Mensal,20,Composto,Nenhuma,Não,Médio
Café,24,98.39999999999999,Silte,Sulcos,Mensal,31,Orgânico,Nenhuma,Sim,Baixo
Milho,69,296.7,Silte,Sulcos,Mensal,33,Nitrogênio,Insetos,Sim,Alto
Café,98,411.5999999999999,Argila,Sulcos,Semanal,26,Fósforo,Nenhuma,Sim,Alto
Milho,70,287.0,Silte,Gotejamento,Diária,31,Orgânico,Ferrugem,Não,Médio
Café,86,361.19999999999993,Argila,Gotejamento,Semanal,26,Nitrogênio,Nenhuma,Sim,Alto
Soja,11,51.7,Areia,Sulcos,Diária,34,Fósforo,Ferrugem,Não,Alto
Arroz,16,49.6,Argila,Sulcos,Diária,18,Orgânico,Insetos,Sim,Alto
Café,97,320.09999999999997,Areia,Aspersão,Mensal,23,Composto,Ferrugem,Não,Alto
Soja,73,328.5,Areia,Sulcos,Semanal,34,Fósforo,Fungos,Sim,Alto
Café,59,188.8,Silte,Aspersão,Diária,24,Orgânico,Insetos,Não,Baixo
Trigo,70,259.0,Silte,Aspersão,Semanal,24,Nitrogênio,Nenhuma,Sim,Médio
Café,80,368.0,Argila,Aspersão,Mensal,31,Orgânico,Nenhuma,Sim,Alto
Café,93,241.8,Argila,Gotejamento,Semanal,18,Fósforo,Insetos,Sim,Médio
Arroz,3,8.7,Areia,Sulcos,Mensal,19,Composto,Ferrugem,Não,Alto
Milho,20,62.0,Areia,Gotejamento,Diária,18,Nitrogênio,Nenhuma,Sim,Baixo
Trigo,59,283.2,Areia,Sulcos,Diária,35,Composto,Ferrugem,Não,Alto
Arroz,36,93.60000000000001,Argila,Sulcos,Semanal,20,Fósforo,Insetos,Não,Baixo
Soja,19,62.699999999999996,Areia,Aspersão,Diária,18,Composto,Nenhuma,Sim,Médio
Soja,90,297.0,Argila,Sulcos,Mensal,26,Composto,Ferrugem,Não,Médio
Trigo,67,221.1,Argila,Gotejamento,Mensal,28,Nitrogênio,Insetos,Não,Baixo
Soja,19,58.9,Areia,Gotejamento,Diária,23,Fósforo,Fungos,Não,Baixo
Café,20,64.0,Silte,Sulcos,Mensal,22,Orgânico,Nenhuma,Sim,Baixo
Trigo,96,384.0,Argila,Gotejamento,Semanal,29,Composto,Fungos,Sim,Alto
Soja,71,305.3,Argila,Sulcos,Diária,30,Nitrogênio,Nenhuma,Sim,Baixo
Trigo,52,192.4,Argila,Aspersão,Mensal,32,Nitrogênio,Fungos,Sim,Baixo
Arroz,33,89.10000000000001,Silte,Sulcos,Mensal,20,Orgânico,Insetos,Não,Médio
Milho,40,132.0,Argila,Aspersão,Mensal,26,Composto,Ferrugem,Não,Médio
Soja,39,144.3,Silte,Gotejamento,Diária,24,Nitrogênio,Insetos,Não,Alto
Milho,82,319.8,Areia,Aspersão,Diária,26,Fósforo,Fungos,Sim,Alto
Café,1,3.5,Argila,Aspersão,Diária,22,Orgânico,Nenhuma,Não,Baixo
Arroz,11,26.4,Areia,Aspersão,Semanal,18,Nitrogênio,Insetos,Sim,Baixo
Café,92,404.8,Argila,Sulcos,Semanal,33,Orgânico,Nenhuma,Sim,Baixo
Soja,57,245.1,Areia,Aspersão,Diária,35,Composto,Ferrugem,Sim,Baixo
Arroz,89,338.2,Silte,Sulcos,Diária,28,Composto,Ferrugem,Não,Médio
Café,50,229.99999999999997,Argila,Gotejamento,Mensal,31,Composto,Nenhuma,Não,Alto
Trigo,23,69.0,Argila,Gotejamento,Semanal,24,Fósforo,Fungos,Não,Baixo
Trigo,31,105.39999999999999,Silte,Gotejamento,Diária,24,Nitrogênio,Insetos,Sim,Médio
Café,94,357.2,Areia,Aspersão,Semanal,27,Orgânico,Ferrugem,Sim,Alto
Arroz,42,189.0,Argila,Gotejamento,Diária,35,Composto,Fungos,Não,Médio
Soja,99,287.09999999999997,Silte,Aspersão,Mensal,19,Nitrogênio,Nenhuma,Sim,Baixo
Trigo,7,34.300000000000004,Areia,Sulcos,Diária,31,Nitrogênio,Nenhuma,Não,Alto
Soja,16,49.6,Areia,Sulcos,Mensal,24,Composto,Insetos,Não,Médio
Trigo,90,360.0,Silte,Aspersão,Diária,27,Composto,Fungos,Não,Alto
